N_n,M_u,T_q,T_r,I_o
0.027777777777777776,84.6309,0.598,528.0,0.1135
0.027777777777777776,0.0,5.651,1.0,0.0
1.0,0.027000000000000003,46729.45200000001,515.0,3.719
1.0,0.0299,2614.674,517.0,3.1129
1.0,0.0492,52949.352,519.0,2.9644
1.0,0.0348,39145.825,521.0,3.1909
1.0,0.0351,35274.538,528.0,4.1110000000000015
1.0,0.0318,39886.341,518.0,3.2324
1.0,0.0519,60403.322,521.0,3.7942
1.0,0.0192,3701.746,524.0,3.6589
1.0,0.0294,13619.171,522.0,2.9791
1.0,0.0442,46728.48,807.0,3.5043
1.0,0.012,13619.114,518.0,2.9127
1.0,0.0356,19363.217,529.0,2.9604
1.0,0.0574,53389.614,517.0,3.9777
1.0,0.0485,46728.168,519.0,3.2963
1.0,0.0414,46727.567,526.0,2.9286
1.0,0.0236,1066.451,520.0,3.6359
1.0,0.0325,8192.516,517.0,2.9331
1.0,0.0284,39143.783,516.0,3.2406
1.0,0.0345,42826.413,506.0,3.3579
1.0,0.0404,46726.46599999999,683.0,3.4797
1.0,0.0332,57671.82900000001,528.0,2.9421
1.0,0.0338,46726.142,518.0,3.9128
1.0,0.0318,8191.074,519.0,3.1771
1.0,0.0279,42345.049000000006,514.0,4.0643
1.0,0.0524,8190.590999999998,514.0,3.3063
1.0,0.032,46725.218,525.0,3.2411
1.0,0.0361,52945.163,524.0,2.9368
1.0,0.0142,56807.75900000001,516.0,3.7359
1.0,0.0266,53045.712,518.0,3.8883
1.0,0.0477,14431.383,537.0,3.8056
1.0,0.0469,21597.742,530.0,3.3037
1.0,0.0295,46724.121,494.0,2.9054
1.0,0.0307,46724.057,523.0,2.9119
1.0,0.0292,38811.962,519.0,3.4555
1.0,0.0229,46723.857,529.0,3.234
1.0,0.0475,8188.903,520.0,3.3635
1.0,0.0132,2270.205,518.0,2.8943
1.0,0.0314,1091.515,515.0,2.8760000000000003
1.0,0.0217,27695.979,506.0,3.1234
1.0,0.0406,46722.806,526.0,2.9804
1.0,0.0279,46722.642,542.0,3.1835
1.0,0.0234,46722.58,527.0,3.2177
1.0,0.0237,10641.197,573.0,3.2192
1.0,0.0246,46722.192,518.0,3.0035
1.0,0.024,14428.812,507.0,3.1663
1.0,0.0366,13566.581,519.0,3.7623
1.0,0.0218,3043.337,512.0,3.1733
1.0,0.0284,55874.781,534.0,3.7689
1.0,0.0272,27275.154,507.0,3.0497
1.0,0.033,59505.89599999999,575.0,3.1061
1.0,0.0245,16967.745,525.0,3.3812
1.0,0.0284,46720.496,509.0,3.2167
1.0,0.0278,19355.124,531.0,2.8831
1.0,0.0214,46719.95200000001,504.0,3.6631
1.0,0.031,46719.871,513.0,3.1131
1.0,0.0279,18880.795,514.0,3.1925
1.0,0.0244,14027.095,527.0,2.9359
1.0,0.0506,46719.11,523.0,3.8196
1.0,0.0203,34193.608,518.0,2.8938
1.0,0.0399,13888.879,512.0,3.1959
1.0,0.028,40183.583,541.0,3.1895
1.0,0.025,46718.143,521.0,2.9045
1.0,0.048,21783.823,524.0,3.2778
1.0,0.0431,20246.458,510.0,2.9536
1.0,0.0159,1056.946,516.0,3.4610000000000003
1.0,0.0355,46717.84,524.0,3.9781
1.0,0.035,40085.571,528.0,3.1502
1.0,0.0436,1060.793,519.0,2.9458
1.0,0.023,52400.883,512.0,3.0484
1.0,0.0532,57731.39900000001,591.0,3.8607
1.0,0.0147,46717.433,510.0,2.8692
1.0,0.0353,46717.426,517.0,3.2057
1.0,0.0364,3663.133,511.0,3.72
1.0,0.0308,24572.873,521.0,3.0894
1.0,0.0451,27559.871,516.0,3.9286
1.0,0.0371,46716.822,526.0,3.3284
1.0,0.0333,39168.576,580.0,3.2247
1.0,0.0277,13607.226,521.0,2.9838
1.0,0.0407,10654.531,531.0,3.0535
1.0,0.0352,1905.194,522.0,2.9774
1.0,0.0565,46715.799000000006,530.0,3.4006
1.0,0.0543,52935.20200000001,529.0,3.0108
1.0,0.0155,34365.312999999995,516.0,3.1392
1.0,0.0365,46715.056,585.0,3.0006
1.0,0.0322,46714.77,518.0,3.0808
1.0,0.0384,52934.563,515.0,2.9276
1.0,0.0238,46714.608,520.0,3.3222
1.0,0.0438,27557.585,519.0,3.2264
1.0,0.0359,1987.916,513.0,3.3491
1.0,0.0348,46714.15900000001,517.0,3.0118
1.0,0.0246,39394.301,503.0,3.2191
1.0,0.0325,27686.81600000001,516.0,3.6734
1.0,0.0313,45502.756,521.0,3.1707
1.0,0.0358,46713.446,533.0,3.6774
1.0,0.0205,40428.77,529.0,3.1606
1.0,0.0265,10492.976,518.0,3.7488
1.0,0.042,15936.805,490.0,3.3545
1.0,0.0464,19346.317,526.0,3.7342
1.0,0.0312,42583.692,527.0,3.2339
1.0,0.0351,52931.083,518.0,3.7063
1.0,0.0286,17330.676,512.0,3.1726
1.0,0.0166,46710.892,510.0,3.6247
1.0,0.0264,39482.148,521.0,2.9248
1.0,0.0297,24566.585,512.0,2.9945
1.0,0.0327,46710.331,526.0,3.0654
1.0,0.0306,39351.448,521.0,3.161
1.0,0.0299,46709.489,523.0,3.6895
1.0,0.0275,13599.871,522.0,3.1939
1.0,0.0346,46708.87,520.0,3.7604
1.0,0.0587,44095.065,525.0,2.9866
1.0,0.0354,21534.655,673.0,3.0768
1.0,0.0239,46708.443,594.0,3.9114
1.0,0.0414,24563.291,521.0,3.2155
